name,visitors
China,27353
United States,14165
Japan,5295
Brazil,3457
France,2756
Spain,2753
United Kingdom,2565
Italy,2303
India,2010
Australia,1736
South Korea,1663
Canada,1611
Hong Kong,1398
South Africa,1332
Russian Federation,1269
Germany,1238
Thailand,1122
Netherlands,1110
Switzerland,960
Belgium,896
Mexico,821
Taiwan,767
Kenya,726
Malaysia,698
Colombia,660
Ireland,628
Peru,626
Philippines,597
Sweden,594
Pakistan,573
Singapore,536
Argentina,510
Ecuador,490
Senegal,482
Indonesia,467
Chile,442
Vietnam,364
Saudi Arabia,356
Morocco,343
Denmark,340
Austria,332
Bangladesh,317
Portugal,309
Turkey,304
Egypt,297
Iran,291
Rwanda,274
Ethiopia,267
Algeria,265
"Congo, The Democratic Republic of the",264
Greece,263
Tunisia,247
Ghana,246
Panama,243
Norway,234
Qatar,196
Cameroon,182
Uganda,181
Slovenia,179
Belarus,177
Israel,176
Nigeria,159
El Salvador,155
Paraguay,152
Sri Lanka,144
Kazakhstan,138
Zambia,135
Hungary,133
Botswana,129
Laos,126
Poland,126
Mauritius,125
Finland,124
Ukraine,119
Slovakia,115
Czechia,114
Cambodia,114
Croatia,113
Bolivia,112
Madagascar,109
United Arab Emirates,107
Serbia,106
Puerto Rico,104
French Guiana,95
Guatemala,93
Tanzania,93
Uzbekistan,92
Costa Rica,90
Burkina Faso,82
Oman,80
Georgia,79
Lebanon,78
Mali,69
Macao,68
Côte d'Ivoire,65
Malawi,65
Romania,64
Cyprus,62
Niger,59
New Zealand,59
Nepal,58
Brunei Darussalam,55
Iceland,55
Estonia,54
Gabon,53
Nicaragua,53
Zimbabwe,53
Bhutan,52
Honduras,52
Lithuania,50
Kosovo,49
Luxembourg,48
Congo,47
Mozambique,47
North Macedonia,46
Cayman Islands,44
Bulgaria,43
Cuba,43
Jordan,42
Mongolia,38
Réunion,37
Kuwait,36
Barbados,34
Anonymous VPN Service,33
Iraq,33
Chad,33
Sierra Leone,32
Venezuela,32
Latvia,31
"Palestine, State of",29
Togo,29
Uruguay,29
Dominican Republic,28
Guyana,28
Libya,27
Guinea,26
Gambia,25
Bahamas,22
Eswatini,22
Syria,19
Albania,16
Cabo Verde,16
Martinique,15
Benin,13
Burundi,12
Jamaica,12
Moldova,12
Bosnia and Herzegovina,11
Armenia,9
Mauritania,8
Belize,7
Bahrain,6
Myanmar,6
Malta,6
Aruba,5
Gibraltar,5
Liberia,5
Seychelles,5
Angola,4
Jersey,4
Kyrgyzstan,4
Liechtenstein,4
Lesotho,4
Haiti,3
Namibia,3
New Caledonia,3
Somalia,3
Guinea-Bissau,2
Trinidad and Tobago,2
Vanuatu,2
Central African Republic,1
Djibouti,1
Faroe Islands,1
Guernsey,1
Montenegro,1
French Polynesia,1
Sint Maarten (Dutch part),1
Yemen,1
Mayotte,1
