name,visitors
United States,84168
Japan,13276
United Kingdom,10486
China,10388
Canada,6983
Germany,6544
Australia,5869
France,5006
Spain,4018
Italy,3879
Switzerland,3771
Brazil,3402
South Korea,3106
India,3105
Russian Federation,2962
Netherlands,2812
Hong Kong,2703
Mexico,2365
Belgium,1806
Taiwan,1435
Singapore,1412
Thailand,1360
Sweden,1221
Austria,1192
Colombia,1184
South Africa,1106
New Zealand,930
Vietnam,874
Israel,795
Philippines,786
Czechia,743
Turkey,742
Peru,724
Norway,712
Denmark,699
Indonesia,665
Ecuador,637
Chile,628
Ireland,597
Argentina,595
Portugal,593
Poland,582
Kenya,568
Malaysia,503
Pakistan,420
Saudi Arabia,396
Macao,395
Senegal,392
Hungary,380
Nigeria,364
Finland,356
Bangladesh,354
Greece,352
Croatia,300
Morocco,287
Romania,278
United Arab Emirates,233
Anonymous VPN Service,216
Egypt,211
Puerto Rico,209
Sri Lanka,206
Algeria,204
Iran,197
Kazakhstan,193
Ghana,191
"Congo, The Democratic Republic of the",184
Ukraine,181
Belarus,147
Serbia,142
Slovakia,140
Estonia,117
Bolivia,114
Ethiopia,113
Cambodia,112
Georgia,110
Tunisia,110
Rwanda,109
Slovenia,107
Lithuania,100
Uganda,100
Uruguay,98
Luxembourg,97
Panama,95
Bulgaria,91
Iraq,89
Dominican Republic,83
Qatar,79
Cuba,74
Paraguay,73
Tanzania,72
Costa Rica,70
Iceland,70
Lebanon,70
Cameroon,69
Nepal,67
Congo,66
Mali,66
Guatemala,65
Côte d'Ivoire,63
Kuwait,63
Uzbekistan,63
Botswana,59
Latvia,52
"Palestine, State of",49
Honduras,47
Jordan,47
Venezuela,45
Papua New Guinea,44
Zambia,44
El Salvador,43
Burkina Faso,38
Cyprus,38
Madagascar,38
Mauritius,37
Malawi,36
Réunion,36
Zimbabwe,34
Laos,33
French Guiana,30
Niger,27
Gambia,26
Mozambique,26
Oman,26
Albania,24
Moldova,23
Mongolia,23
Martinique,23
Armenia,22
Bhutan,22
Gabon,22
Jamaica,22
Syria,21
Bosnia and Herzegovina,20
Libya,20
Maldives,20
New Caledonia,20
Togo,20
Nicaragua,19
Cabo Verde,17
Guinea,17
Cayman Islands,15
North Macedonia,14
Mauritania,14
Brunei Darussalam,13
Guadeloupe,13
Malta,13
Kosovo,13
Fiji,12
Montenegro,12
Benin,11
Jersey,10
Bahamas,9
Bahrain,8
Grenada,8
Isle of Man,8
Liberia,8
Faroe Islands,7
Azerbaijan,6
Guinea-Bissau,6
Liechtenstein,6
Namibia,6
French Polynesia,6
Trinidad and Tobago,6
Angola,5
Barbados,5
Kyrgyzstan,5
Myanmar,5
Chad,5
Equatorial Guinea,4
Guyana,4
Yemen,4
Burundi,3
Guernsey,3
Seychelles,3
Sudan,3
Sierra Leone,3
South Sudan,3
"Virgin Islands, U.S.",3
Andorra,2
Antigua and Barbuda,2
Bermuda,2
Belize,2
Curaçao,2
Eritrea,2
Gibraltar,2
Guam,2
Haiti,2
Lesotho,2
Northern Mariana Islands,2
Sint Maarten (Dutch part),2
Turkmenistan,2
Afghanistan,1
Aruba,1
Åland Islands,1
Central African Republic,1
Palau,1
Solomon Islands,1
San Marino,1
Eswatini,1
Turks and Caicos Islands,1
Saint Vincent and the Grenadines,1
Vanuatu,1
Wallis and Futuna,1
Mayotte,1
